id,paciente_nome,cpf,procedimento,codigo_tuss,executado,prescricao,dente,dentista,dentista_email,cro_dentista,created_at,fraude,status,motivo_atencao,suspicious
30,Amanda Carvalho,73467065600,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 46,Sem prescrição medicamentosa,18,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-06T00:00:00,0.0,normal,,False
31,Simone Barros,57773872171,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 31,Azitromicina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Cetoprofeno 100mg - 1 comp. 12/12h por 3 dias,11,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-06T00:00:00,0.0,normal,,False
32,Anderson Moreira,53287101269,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 27, classe I oclusal",Sem prescrição medicamentosa,35,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-06T00:00:00,0.0,normal,,False
33,Eduardo Nogueira,68011280511,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,13,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-06T00:00:00,0.0,normal,,False
34,Camila Ferreira,70482814802,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 43,Cefalexina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 750mg - 1 comp. 6/6h se dor | Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,22,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-06T00:00:00,0.0,normal,,False
35,Luciana Cavalcanti,26916697857,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 42,Sem prescrição medicamentosa,14,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-07T00:00:00,0.0,normal,,False
36,Amanda Carvalho,73467065600,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,14,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-07T00:00:00,0.0,normal,,False
37,Camila Ferreira,70482814802,Extração Dentária Simples,84000018.0,Exodontia do dente 27 com técnica minimamente invasiva,Paracetamol 500mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,26,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-07T00:00:00,0.0,normal,,False
38,Anderson Moreira,41395376719,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 12 - sessão 1/3,Amoxicilina + Clavulanato 875mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Ibuprofeno 600mg - 1 comp. 12/12h por 3 dias,35,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-10T00:00:00,1.0,atencao,Canal 4 dias após clareamento (altamente suspeito < 14 dias),True
39,Anderson Moreira,53287101269,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,34,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-10T00:00:00,1.0,atencao,Profilaxia repetida em 4 dias (mínimo normal: 90 dias),True
40,Amanda Carvalho,73467065600,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 45, classe I oclusal",Sem prescrição medicamentosa,48,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-10T00:00:00,0.0,normal,,False
41,Luciana Cavalcanti,26916697857,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 41, classe I oclusal",Sem prescrição medicamentosa,35,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-10T00:00:00,0.0,normal,,False
42,Simone Barros,57773872171,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 44, classe I oclusal",Sem prescrição medicamentosa,26,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-10T00:00:00,0.0,normal,,False
43,Amanda Carvalho,73467065600,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 44, classe I oclusal",Sem prescrição medicamentosa,35,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-10T00:00:00,0.0,normal,,False
44,Luciana Cavalcanti,26916697857,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,16,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-10T00:00:00,0.0,normal,,False
45,Luciana Cavalcanti,26916697857,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 18, classe I oclusal",Sem prescrição medicamentosa,36,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-10T00:00:00,0.0,normal,,False
46,Bruno Araújo,87083172757,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,37,Dr. Marcos Antonio Silveira,marcos.silveira@odontovision.com.br,CRO-SP 45821,2022-01-11T00:00:00,0.0,normal,,False
47,Bruno Araújo,87083172757,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 18,Sem prescrição medicamentosa,38,Dra. Fernanda Cristina Alves,fernanda.alves@odontovision.com.br,CRO-SP 51234,2022-01-11T00:00:00,0.0,normal,,False
48,Sergio Caldeira,26284987749,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,32,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-11T00:00:00,0.0,normal,,False
49,Eduardo Nogueira,68011280511,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 15 - sessão 1/3,Nimesulida 100mg - 1 comp. 12/12h por 3 dias,42,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-11T00:00:00,1.0,atencao,Canal 5 dias após profilaxia (indica problema pré-existente não detectado),True
50,Patricia Ribeiro,87262473131,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 22, classe I oclusal",Sem prescrição medicamentosa,14,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-11T00:00:00,0.0,normal,,False
51,Anderson Moreira,53287101269,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 45,Metronidazol 400mg - 1 comp. 8/8h por 7 dias | Paracetamol 750mg - 1 comp. 6/6h se dor | Cetoprofeno 100mg - 1 comp. 12/12h por 3 dias,48,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-11T00:00:00,0.0,normal,,False
52,Fabio Cunha,4966319340,Extração Dentária Simples,84000018.0,Exodontia do dente 21 com técnica minimamente invasiva,Amoxicilina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,26,Dr. Marcos Antonio Silveira,marcos.silveira@odontovision.com.br,CRO-SP 45821,2022-01-11T00:00:00,0.0,normal,,False
53,Sergio Caldeira,26284987749,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,44,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-12T00:00:00,1.0,atencao,Profilaxia repetida em 1 dias (mínimo normal: 90 dias),True
54,Cristina Azevedo,96507527300,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 18,Sem prescrição medicamentosa,33,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-12T00:00:00,0.0,normal,,False
55,Fabio Cunha,4966319340,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 36,Amoxicilina + Clavulanato 875mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,34,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-12T00:00:00,0.0,normal,,False
56,Sergio Caldeira,26284987749,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 25 - sessão 1/3,Amoxicilina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Cetoprofeno 100mg - 1 comp. 12/12h por 3 dias,31,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-12T00:00:00,1.0,atencao,Canal 0 dias após profilaxia (indica problema pré-existente não detectado),True
57,Fabio Cunha,4966319340,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 45,Sem prescrição medicamentosa,22,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-12T00:00:00,0.0,normal,,False
58,Patricia Ribeiro,87262473131,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 34, classe I oclusal",Sem prescrição medicamentosa,15,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-12T00:00:00,0.0,normal,,False
59,Patricia Ribeiro,87262473131,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 46, classe I oclusal",Sem prescrição medicamentosa,41,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-13T00:00:00,0.0,normal,,False
60,Anderson Moreira,41395376719,Extração Dentária Simples,84000018.0,Exodontia do dente 47 com técnica minimamente invasiva,Sem prescrição medicamentosa,35,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-13T00:00:00,1.0,atencao,Extração 3 dias após canal no dente 35 (suspeito < 90 dias),True
61,Bruno Araújo,87083172757,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 38 - sessão 2/3,Sem prescrição medicamentosa,38,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-14T00:00:00,1.0,atencao,Canal 3 dias após clareamento (altamente suspeito < 14 dias),True
62,Patricia Ribeiro,87262473131,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 16 - sessão 3/3,Azitromicina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Cetoprofeno 100mg - 1 comp. 12/12h por 3 dias,36,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-14T00:00:00,0.0,normal,,False
63,Simone Barros,57773872171,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 38, classe I oclusal",Sem prescrição medicamentosa,44,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-17T00:00:00,0.0,normal,,False
64,Camila Ferreira,70482814802,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,25,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-17T00:00:00,0.0,normal,,False
65,Cristina Azevedo,96507527300,Extração Dentária Simples,84000018.0,Exodontia do dente 41 com técnica minimamente invasiva,Metronidazol 400mg - 1 comp. 8/8h por 7 dias | Dipirona 500mg - 1 comp. 6/6h se dor | Ibuprofeno 600mg - 1 comp. 12/12h por 3 dias,21,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-18T00:00:00,0.0,normal,,False
66,Bruno Araújo,87083172757,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,27,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-18T00:00:00,0.0,normal,,False
67,Patricia Ribeiro,87262473131,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,46,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-18T00:00:00,0.0,normal,,False
68,Camila Ferreira,70482814802,Extração Dentária Simples,84000018.0,Exodontia do dente 47 com técnica minimamente invasiva,Amoxicilina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor,14,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-18T00:00:00,0.0,normal,,False
69,Amanda Carvalho,73467065600,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 45, classe I oclusal",Sem prescrição medicamentosa,27,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-18T00:00:00,0.0,normal,,False
70,Simone Barros,57773872171,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 38,Amoxicilina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,16,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-18T00:00:00,0.0,normal,,False
71,Carlos Rodrigues,71822782430,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,16,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-18T00:00:00,0.0,normal,,False
72,Sergio Caldeira,26284987749,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 28, classe I oclusal",Sem prescrição medicamentosa,33,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-18T00:00:00,0.0,normal,,False
73,Cristina Azevedo,96507527300,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 12, classe I oclusal",Sem prescrição medicamentosa,48,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-19T00:00:00,0.0,normal,,False
74,Luciana Cavalcanti,26916697857,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 43,Sem prescrição medicamentosa,28,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-19T00:00:00,0.0,normal,,False
75,Patricia Ribeiro,87262473131,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,41,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-19T00:00:00,0.0,normal,,False
76,Anderson Moreira,41395376719,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 17,Sem prescrição medicamentosa,28,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-20T00:00:00,0.0,normal,,False
77,Anderson Moreira,41395376719,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 47 - sessão 3/3,Sem prescrição medicamentosa,46,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-20T00:00:00,0.0,normal,,False
78,Carlos Rodrigues,71822782430,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,31,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-20T00:00:00,0.0,normal,,False
79,Carlos Rodrigues,71822782430,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 45,Amoxicilina + Clavulanato 875mg - 1 comp. 8/8h por 7 dias | Paracetamol 750mg - 1 comp. 6/6h se dor | Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,42,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-20T00:00:00,0.0,normal,,False
80,Luciana Cavalcanti,26916697857,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 35, classe I oclusal",Sem prescrição medicamentosa,16,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-21T00:00:00,0.0,normal,,False
81,Sergio Caldeira,26284987749,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,37,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-21T00:00:00,0.0,normal,,False
82,Adriana Torres,12411824424,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,38,Dr. Marcos Antonio Silveira,marcos.silveira@odontovision.com.br,CRO-SP 45821,2022-01-24T00:00:00,0.0,normal,,False
83,Sergio Caldeira,26284987749,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,28,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-24T00:00:00,1.0,atencao,Profilaxia repetida em 12 dias (mínimo normal: 90 dias),True
84,Bruno Araújo,87083172757,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 45,Sem prescrição medicamentosa,38,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-24T00:00:00,0.0,normal,,False
