id,paciente_nome,cpf,procedimento,executado,prescricao,dentista,created_at,fraude,status,motivo_atencao,suspicious,attention_reason,motivos
185,Jonatas Lemos,102212527370,Profilaxia (limpeza),Profilaxia completa,,Dra. Beatriz Luz,2023-06-08 09:15:00,0,atencao,,True,Profilaxia em 2023-06-08 → Canal em 2023-06-20 (≤ 15 dias),
186,Jonatas Lemos,102212527370,Tratamento de canal,Canal dente 22,,Dra. Beatriz Luz,2023-06-20 10:05:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
187,Kellen Rocha,102312628381,Controle de retorno,Assintomática,,Dra. Ana Clara,2023-07-04 14:50:00,0,normal,,False,,
188,Levi Cunha,102412729392,Restauração de resina,Restauração dente 24,,Dr. Pedro Lima,2023-07-15 12:10:00,0,normal,,False,,
189,Monica Alves,102512830303,Profilaxia (limpeza),Profilaxia simples,,Dra. Beatriz Luz,2023-07-28 08:55:00,0,atencao,,True,Profilaxia em 2023-07-28 → Canal em 2023-08-09 (≤ 15 dias),
190,Monica Alves,102512830303,Tratamento de canal,Canal dente 31,,Dra. Beatriz Luz,2023-08-09 09:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
191,Nicolas Braga,102612931314,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2023-08-18 10:45:00,0,normal,,False,,
192,Otavio Reis,102713032325,Clareamento dental,Primeira sessão,,Dra. Ana Clara,2023-08-29 18:25:00,0,normal,,False,,
193,Priscila Melo,102813133336,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2023-09-06 09:00:00,0,atencao,,True,Profilaxia em 2023-09-06 → Canal em 2023-09-18 (≤ 15 dias),
194,Priscila Melo,102813133336,Tratamento de canal,Canal dente 28,,Dra. Ana Clara,2023-09-18 10:05:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
195,Quésia Prado,102913234347,Controle de retorno,Sem alterações,,Dr. Pedro Lima,2023-09-30 14:35:00,0,normal,,False,,
196,Renan Freire,103013335358,Raspagem supragengival,Raspagem moderada,Enxágue clorexidina,Dra. Beatriz Luz,2023-10-04 15:15:00,0,normal,,False,,
197,Sabrina Luz,103113436369,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Ana Clara,2023-10-10 08:50:00,0,atencao,,True,Profilaxia em 2023-10-10 → Canal em 2023-10-21 (≤ 15 dias),
198,Sabrina Luz,103113436369,Tratamento de canal,Canal dente 13,,Dra. Ana Clara,2023-10-21 09:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
199,Thales Porto,103213537370,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2023-11-03 11:10:00,0,normal,,False,,
200,Ursula Prado,103313638381,Restauração de resina,Restauração dente 35,,Dra. Beatriz Luz,2023-11-15 12:25:00,0,normal,,False,,
136,Adriana Neri,87789092023,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2024-01-08 09:00:00,0,atencao,,True,Profilaxia em 2024-01-08 → Canal em 2024-01-19 (≤ 15 dias),
137,Adriana Neri,87789092023,Tratamento de canal,Canal dente 24,,Dra. Ana Clara,2024-01-19 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
138,Breno Couto,88799193037,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2024-02-10 10:15:00,0,normal,,False,,
139,Camila Seixas,89809294048,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Beatriz Luz,2024-02-20 11:10:00,0,normal,,False,,
140,Diego Ramos,90819395059,Controle de retorno,Revisão,,Dra. Ana Clara,2024-03-03 14:00:00,0,normal,,False,,
141,Diego Ramos,90819395059,Restauração de resina,Restauração dente 15,,Dra. Ana Clara,2024-03-12 09:20:00,0,normal,,False,,
142,Eliana Paz,91829496060,Profilaxia (limpeza),Profilaxia,,Dr. Pedro Lima,2024-04-06 09:10:00,0,atencao,,True,Profilaxia em 2024-04-06 → Canal em 2024-04-18 (≤ 15 dias),
143,Eliana Paz,91829496060,Tratamento de canal,Canal dente 22,,Dr. Pedro Lima,2024-04-18 10:05:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
144,Fabiana Luz,92839597071,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dra. Beatriz Luz,2024-04-27 16:30:00,0,normal,,False,,
145,Guilherme Araujo,93849698082,Clareamento dental,Primeira sessão,,Dra. Ana Clara,2024-05-05 18:00:00,0,normal,,False,,
146,Heloisa Teves,94859799093,Profilaxia (limpeza),Profilaxia e polimento,,Dr. Pedro Lima,2024-05-09 08:40:00,0,atencao,,True,Profilaxia em 2024-05-09 → Canal em 2024-05-21 (≤ 15 dias),
147,Heloisa Teves,94859799093,Tratamento de canal,Canal dente 31,,Dr. Pedro Lima,2024-05-21 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
148,Igor Santos,95869800104,Aplicação de flúor,Verniz aplicado,,Dra. Beatriz Luz,2024-06-02 11:30:00,0,normal,,False,,
149,Janaina Lobo,96879901115,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2024-06-07 09:00:00,0,atencao,,True,Profilaxia em 2024-06-07 → Canal em 2024-06-19 (≤ 15 dias),
150,Janaina Lobo,96879901115,Tratamento de canal,Canal dente 18,,Dra. Ana Clara,2024-06-19 09:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
151,Keila Brum,97880002126,Controle de retorno,Sem alterações,,Dr. Pedro Lima,2024-07-01 14:10:00,0,normal,,False,,
152,Leandro Paes,98890103137,Restauração de resina,Restauração dente 27,,Dra. Beatriz Luz,2024-07-10 12:00:00,0,normal,,False,,
153,Marcela Diniz,99900204148,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2024-07-23 08:50:00,0,atencao,,True,Profilaxia em 2024-07-23 → Canal em 2024-08-01 (≤ 15 dias),
154,Marcela Diniz,99900204148,Tratamento de canal,Canal dente 42,,Dra. Ana Clara,2024-08-01 10:05:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
155,Natan Alves,100010305158,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2024-08-12 11:25:00,0,normal,,False,,
156,Olivia Meireles,100110406169,Clareamento dental,Segunda sessão,,Dra. Beatriz Luz,2024-08-24 18:20:00,0,normal,,False,,
157,Pedro Queiroz,100210507170,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2024-09-02 09:20:00,0,atencao,,True,Profilaxia em 2024-09-02 → Canal em 2024-09-13 (≤ 15 dias),
158,Pedro Queiroz,100210507170,Tratamento de canal,Canal dente 25,,Dra. Ana Clara,2024-09-13 10:15:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
159,Queiroga Lima,100310608181,Controle de retorno,Assintomático,,Dr. Pedro Lima,2024-09-28 16:00:00,0,normal,,False,,
160,Rafaela Prado,100410709192,Restauração de resina,Restauração dente 13,,Dra. Beatriz Luz,2024-10-03 11:40:00,0,normal,,False,,
161,Sandro Neri,100510810203,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2024-10-07 08:35:00,0,atencao,,True,Profilaxia em 2024-10-07 → Canal em 2024-10-18 (≤ 15 dias),
162,Sandro Neri,100510810203,Tratamento de canal,Canal dente 17,,Dra. Ana Clara,2024-10-18 09:45:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
163,Tamara Silva,100610911214,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2024-11-04 10:30:00,0,normal,,False,,
164,Ulisses Rios,100711012225,Profilaxia (limpeza),Profilaxia completa,,Dra. Beatriz Luz,2024-11-08 09:00:00,0,atencao,,True,Profilaxia em 2024-11-08 → Canal em 2024-11-20 (≤ 15 dias),
165,Ulisses Rios,100711012225,Tratamento de canal,Canal dente 29,,Dra. Beatriz Luz,2024-11-20 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
166,Vitória Lins,100811113236,Retirada de pontos,Pós-operatório,,Dra. Ana Clara,2024-12-01 16:10:00,0,normal,,False,,
167,Wellington Paz,100911214247,Profilaxia (limpeza),Profilaxia,,Dr. Pedro Lima,2024-12-05 08:45:00,0,atencao,,True,Profilaxia em 2024-12-05 → Canal em 2024-12-16 (≤ 15 dias),
168,Wellington Paz,100911214247,Tratamento de canal,Canal dente 12,,Dr. Pedro Lima,2024-12-16 09:20:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
101,André Matos,61626465760,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2025-01-07 09:30:00,0,atencao,,True,Profilaxia em 2025-01-07 → Canal em 2025-01-18 (≤ 15 dias),
102,André Matos,61626465760,Tratamento de canal,Canal dente 16,,Dra. Ana Clara,2025-01-18 10:20:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
103,Bianca Torres,62636566771,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2025-02-11 11:05:00,0,normal,,False,,
104,Caio Prado,63646667782,Restauração de resina,Restauração dente 14,,Dra. Beatriz Luz,2025-02-22 14:45:00,0,normal,,False,,
105,Daniel Souza,64656768793,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Ana Clara,2025-03-01 09:00:00,0,atencao,,True,Profilaxia em 2025-03-01 → Canal em 2025-03-12 (≤ 15 dias),
106,Daniel Souza,64656768793,Tratamento de canal,Canal dente 26,,Dra. Ana Clara,2025-03-12 10:10:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
107,Elisa Moura,65676869804,Controle de retorno,Sem queixas,,Dr. Pedro Lima,2025-03-20 16:40:00,0,normal,,False,,
108,Fernando Reis,66686970815,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dra. Beatriz Luz,2025-04-05 15:10:00,0,normal,,False,,
109,Gisele Neri,67697071826,Clareamento dental,Primeira sessão,,Dr. Pedro Lima,2025-04-16 18:20:00,0,normal,,False,,
110,Henrique Costa,68707172837,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-05-03 08:30:00,0,atencao,,True,Profilaxia em 2025-05-03 → Canal em 2025-05-15 (≤ 15 dias),
111,Henrique Costa,68707172837,Tratamento de canal,Canal dente 21,,Dra. Ana Clara,2025-05-15 09:25:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
112,Iara Campos,69717273848,Aplicação de flúor,Verniz neutro,,Dra. Beatriz Luz,2025-05-28 10:40:00,0,normal,,False,,
113,Jonas Pires,70727374859,Profilaxia (limpeza),Profilaxia completa,,Dr. Pedro Lima,2025-06-02 09:15:00,0,normal,,False,,
114,Jonas Pires,70727374859,Restauração de resina,Restauração dente 12,,Dr. Pedro Lima,2025-06-10 11:00:00,0,normal,,False,,
115,Karina Dias,71737475860,Clareamento dental,Segunda sessão,,Dra. Beatriz Luz,2025-06-25 18:10:00,0,normal,,False,,
116,Lucas Antunes,72747576871,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2025-07-01 09:00:00,0,atencao,,True,Profilaxia em 2025-07-01 → Canal em 2025-07-13 (≤ 15 dias),
117,Lucas Antunes,72747576871,Tratamento de canal,Canal dente 36,,Dra. Ana Clara,2025-07-13 08:50:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
118,Mariana Prado,73757677882,Cimentação de coroa/prótese,Cimentação coroa 17,,Dr. Pedro Lima,2025-07-20 10:30:00,0,normal,,False,,
119,Nelson Diniz,74767778893,Controle de retorno,Assintomático,,Dra. Beatriz Luz,2025-08-04 14:15:00,0,normal,,False,,
120,Olga Farias,75777879904,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-08-09 09:30:00,0,atencao,,True,Profilaxia em 2025-08-09 → Canal em 2025-08-21 (≤ 15 dias),
121,Olga Farias,75777879904,Tratamento de canal,Canal dente 11,,Dra. Ana Clara,2025-08-21 10:10:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
7,Ana Ribeiro,22334455667,Extração dentária,Extração dente 18,Ibuprofeno 400mg,Dra. Ana Clara,2025-08-28 16:10:00,0,normal,,False,,
122,Paulo Araujo,76787980915,Raspagem supragengival,Raspagem moderada,Enxágue clorexidina,Dr. Pedro Lima,2025-08-29 15:10:00,0,normal,,False,,
28,Paulo Nunes,55667788990,Profilaxia (limpeza),Profilaxia e polimento,,Dra. Ana Clara,2025-09-01 08:45:00,0,atencao,,True,3 atendimentos em ≤ 14 dias,
1,João Silva,12345678901,Profilaxia (limpeza),Profilaxia completa; boca saudável,Enxágue bucal 2x/dia,Dra. Ana Clara,2025-09-01 09:10:00,0,atencao,,True,Profilaxia em 2025-09-01 → Canal em 2025-09-12 (≤ 15 dias),
65,Beatriz Salles,34353637483,Profilaxia (limpeza),Profilaxia preventiva,,Dra. Ana Clara,2025-09-01 09:30:00,0,normal,,False,,
48,Olívia Cunha,22232425361,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-09-02 09:10:00,0,atencao,,True,Profilaxia em 2025-09-02 → Canal em 2025-09-14 (≤ 15 dias),
3,Maria Souza,98765432100,Profilaxia (limpeza),Profilaxia com orientação,,Dr. Pedro Lima,2025-09-02 14:20:00,0,normal,,False,,
95,Zélia Ramos,57596061716,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Beatriz Luz,2025-09-03 08:40:00,0,atencao,,True,Profilaxia em 2025-09-03 → Canal em 2025-09-14 (≤ 15 dias),
72,Henrique Vidal,40424344549,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2025-09-03 08:50:00,0,atencao,,True,Profilaxia em 2025-09-03 → Canal em 2025-09-13 (≤ 15 dias),
9,Laura Martins,44556677889,Profilaxia (limpeza),Profilaxia básica,,Dra. Beatriz Luz,2025-09-03 09:00:00,0,normal,,False,,
55,Tadeu Ramos,27282930416,Profilaxia (limpeza),Profilaxia completa,,Dra. Beatriz Luz,2025-09-03 11:25:00,0,atencao,,True,Profilaxia em 2025-09-03 → Canal em 2025-09-16 (≤ 15 dias),
84,Renata Prado,49515253638,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Ana Clara,2025-09-04 09:30:00,0,atencao,,True,Profilaxia em 2025-09-04 → Canal em 2025-09-18 (≤ 15 dias),
14,Renato Dias,77889900112,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dra. Beatriz Luz,2025-09-04 15:05:00,0,normal,,False,,
123,Quezia Lopes,77798081926,Aplicação de flúor,Verniz aplicado,,Dra. Beatriz Luz,2025-09-05 10:00:00,0,normal,,False,,
76,Kevin Duarte,43454647572,Profilaxia (limpeza),Higienização e polimento,,Dra. Ana Clara,2025-09-05 10:20:00,0,atencao,,True,Profilaxia em 2025-09-05 → Canal em 2025-09-17 (≤ 15 dias),
51,Queila Azevedo,24252627383,Profilaxia (limpeza),Profilaxia com jato,,Dra. Beatriz Luz,2025-09-05 10:40:00,0,atencao,,True,Profilaxia em 2025-09-05 → Canal em 2025-09-17 (≤ 15 dias),
5,Carlos Braga,10293847566,Profilaxia (limpeza),Higienização e polimento,,Dra. Beatriz Luz,2025-09-05 11:00:00,0,atencao,,True,Profilaxia em 2025-09-05 → Canal em 2025-09-18 (≤ 15 dias),
62,Yasmin Rocha,32333435461,Profilaxia (limpeza),Profilaxia com jato,,Dr. Pedro Lima,2025-09-06 08:30:00,0,atencao,,True,Profilaxia em 2025-09-06 → Canal em 2025-09-18 (≤ 15 dias),
37,Aline Barros,13141516172,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Ana Clara,2025-09-06 09:10:00,0,atencao,,True,Profilaxia em 2025-09-06 → Canal em 2025-09-18 (≤ 15 dias),
87,Thais Bueno,51535455650,Profilaxia (limpeza),Profilaxia completa,,Dra. Beatriz Luz,2025-09-06 10:00:00,0,atencao,,True,Profilaxia em 2025-09-06 → Canal em 2025-09-19 (≤ 15 dias),
15,Sofia Alves,88990011223,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2025-09-06 10:30:00,0,atencao,,True,Profilaxia em 2025-09-06 → Canal em 2025-09-19 (≤ 15 dias),
68,Elisa Campos,37383940516,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-09-07 09:05:00,0,atencao,,True,Profilaxia em 2025-09-07 → Canal em 2025-09-19 (≤ 15 dias),
54,Sabrina Paes,26272829405,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2025-09-07 09:55:00,0,normal,,False,,
99,Debora Lima,60626364749,Profilaxia (limpeza),Profilaxia simples,,Dra. Beatriz Luz,2025-09-07 10:05:00,0,atencao,,True,Profilaxia em 2025-09-07 → Canal em 2025-09-18 (≤ 15 dias),
8,Felipe Santos,33445566778,Tratamento de canal,Canal dente 21,,Dr. Pedro Lima,2025-09-07 10:50:00,0,normal,,False,,
91,William Souza,54565758683,Profilaxia (limpeza),Profilaxia com jato,,Dra. Beatriz Luz,2025-09-08 09:20:00,0,atencao,,True,Profilaxia em 2025-09-08 → Canal em 2025-09-20 (≤ 15 dias),
18,Carla Pires,10111213141,Cimentação de coroa/prótese,Cimentação coroa 15,,Dra. Beatriz Luz,2025-09-08 09:25:00,0,normal,,False,,
41,Ivan Rocha,16171819305,Profilaxia (limpeza),Profilaxia completa,,Dra. Ana Clara,2025-09-08 14:00:00,0,atencao,,True,Profilaxia em 2025-09-08 → Canal em 2025-09-22 (≤ 15 dias),
59,Wesley Amorim,30313233449,Profilaxia (limpeza),Profilaxia e orientação,,Dra. Beatriz Luz,2025-09-09 10:15:00,0,atencao,,True,Profilaxia em 2025-09-09 → Canal em 2025-09-22 (≤ 15 dias),
11,Paulo Nunes,55667788990,Restauração de resina,Restauração dente 14,,Dra. Ana Clara,2025-09-09 13:00:00,0,normal,,False,,
80,Nathalia Cruz,46484950605,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-09-10 09:00:00,0,atencao,,True,Profilaxia em 2025-09-10 → Canal em 2025-09-23 (≤ 15 dias),
124,Ricardo Luna,78798182937,Profilaxia (limpeza),Profilaxia e polimento,,Dra. Ana Clara,2025-09-10 09:00:00,0,atencao,,True,Profilaxia em 2025-09-10 → Canal em 2025-09-22 (≤ 15 dias),
12,Bruna Lopes,66778899001,Profilaxia (limpeza),Profilaxia e orientação,,Dr. Pedro Lima,2025-09-10 17:40:00,0,atencao,,True,Profilaxia em 2025-09-10 → Canal em 2025-09-24 (≤ 15 dias),
45,Larissa Freitas,19202122338,Profilaxia (limpeza),Higienização e orientação,,Dra. Ana Clara,2025-09-11 11:50:00,0,normal,,False,,
17,Marcos Melo,99001122334,Clareamento dental,Primeira sessão,,Dr. Pedro Lima,2025-09-11 18:00:00,0,normal,,False,,
31,Renato Dias,77889900112,Profilaxia (limpeza),Profilaxia com jato de bicarbonato,,Dra. Beatriz Luz,2025-09-12 08:30:00,0,atencao,,True,Profilaxia em 2025-09-12 → Canal em 2025-09-23 (≤ 15 dias),
2,João Silva,12345678901,Tratamento de canal,Canal dente 26,,Dra. Ana Clara,2025-09-12 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.; Anotação de 'boca saudável' seguida de canal/extração em até 15 dias.,False,,
73,Henrique Vidal,40424344549,Tratamento de canal,Canal dente 41,,Dra. Ana Clara,2025-09-13 11:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
61,Xavier Lopes,31323334450,Aplicação de flúor,Verniz aplicado,,Dra. Ana Clara,2025-09-13 13:05:00,0,normal,,False,,
39,Gustavo Prado,14151617283,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2025-09-13 15:45:00,0,normal,,False,,
29,Paulo Nunes,55667788990,Tratamento de canal,Canal dente 25,,Dra. Ana Clara,2025-09-14 09:20:00,1,atencao,,False,,
96,Zélia Ramos,57596061716,Tratamento de canal,Canal dente 32,,Dra. Beatriz Luz,2025-09-14 12:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
49,Olívia Cunha,22232425361,Tratamento de canal,Canal dente 16,,Dra. Ana Clara,2025-09-14 13:25:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
24,Ana Ribeiro,22334455667,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2025-09-15 09:00:00,0,atencao,,True,Profilaxia em 2025-09-15 → Canal em 2025-09-27 (≤ 15 dias),
56,Tadeu Ramos,27282930416,Tratamento de canal,Canal dente 44,,Dra. Beatriz Luz,2025-09-16 12:05:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
20,Diego Costa,12131415161,Tratamento de canal,Canal dente 11,,Dr. Pedro Lima,2025-09-16 16:55:00,0,normal,,False,,
52,Queila Azevedo,24252627383,Tratamento de canal,Canal dente 33,,Dra. Beatriz Luz,2025-09-17 09:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
77,Kevin Duarte,43454647572,Tratamento de canal,Canal dente 34,,Dra. Ana Clara,2025-09-17 13:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
43,Julia Pacheco,17181920316,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dr. Pedro Lima,2025-09-17 16:30:00,0,normal,,False,,
6,Carlos Braga,10293847566,Tratamento de canal,Canal dente 12,,Dra. Beatriz Luz,2025-09-18 08:40:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
85,Renata Prado,49515253638,Tratamento de canal,Canal dente 37,,Dra. Ana Clara,2025-09-18 08:50:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
63,Yasmin Rocha,32333435461,Tratamento de canal,Canal dente 14,,Dr. Pedro Lima,2025-09-18 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
38,Aline Barros,13141516172,Tratamento de canal,Canal dente 35,,Dra. Ana Clara,2025-09-18 10:10:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
100,Debora Lima,60626364749,Tratamento de canal,Canal dente 17,,Dra. Beatriz Luz,2025-09-18 13:10:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
88,Thais Bueno,51535455650,Tratamento de canal,Canal dente 45,,Dra. Beatriz Luz,2025-09-19 11:45:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
69,Elisa Campos,37383940516,Tratamento de canal,Canal dente 22,,Dra. Ana Clara,2025-09-19 12:10:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
16,Sofia Alves,88990011223,Tratamento de canal,Canal dente 24,,Dra. Ana Clara,2025-09-19 12:45:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
40,Helena Moraes,15161718294,Restauração de resina,Restauração dente 12,,Dra. Beatriz Luz,2025-09-20 09:20:00,0,normal,,False,,
10,Laura Martins,44556677889,Aplicação de flúor,Aplicado verniz de flúor,,Dra. Beatriz Luz,2025-09-20 09:20:00,0,normal,,False,,
92,William Souza,54565758683,Tratamento de canal,Canal dente 28,,Dra. Beatriz Luz,2025-09-20 10:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
64,Zeca Moura,33343536472,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dra. Beatriz Luz,2025-09-20 15:10:00,0,normal,,False,,
79,Monique Paz,45474849594,Raspagem supragengival,Raspagem moderada,Enxágue clorexidina,Dra. Beatriz Luz,2025-09-21 14:30:00,0,normal,,False,,
26,Felipe Santos,33445566778,Raspagem supragengival,Raspagem moderada,Enxágue clorexidina,Dr. Pedro Lima,2025-09-21 15:25:00,0,normal,,False,,
42,Ivan Rocha,16171819305,Tratamento de canal,Canal dente 27,,Dra. Ana Clara,2025-09-22 09:40:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
125,Ricardo Luna,78798182937,Tratamento de canal,Canal dente 23,,Dra. Ana Clara,2025-09-22 09:40:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
60,Wesley Amorim,30313233449,Tratamento de canal,Canal dente 31,,Dra. Beatriz Luz,2025-09-22 09:50:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
94,Yuri Cardozo,56585960705,Clareamento dental,Primeira sessão,,Dr. Pedro Lima,2025-09-22 18:10:00,0,normal,,False,,
32,Renato Dias,77889900112,Tratamento de canal,Canal dente 13,,Dra. Beatriz Luz,2025-09-23 09:15:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
81,Nathalia Cruz,46484950605,Tratamento de canal,Canal dente 18,,Dra. Ana Clara,2025-09-23 10:15:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
